Duration,Charges,Facilities,Location,Facility1,Facility2,Facility3,Facility4,Facility5
Monthly,1500.00,"No free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","CF-140, 4th Cross Rd, CF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",No free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Quarterly,4000.00,"1 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","CF-140, 4th Cross Rd, CF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",1 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Half-Yearly,6000.00,"2 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","CF-140, 4th Cross Rd, CF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",2 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Yearly ,10000.00,"4 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","CF-140, 4th Cross Rd, CF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",4 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
