Duration,Charges,Facilities,Location,Facility1,Facility2,Facility3,Facility4,Facility5
Monthly,1200.00,"No free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","Dilshan Apartment, opp. M Bazar, Bazarpara, Uluberia, Howrah, West Bengal 711316",No free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Quarterly,3000.00,"1 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","Dilshan Apartment, opp. M Bazar, Bazarpara, Uluberia, Howrah, West Bengal 711316",1 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Half-Yearly,5000.00,"2 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","Dilshan Apartment, opp. M Bazar, Bazarpara, Uluberia, Howrah, West Bengal 711316",2 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
Yearly ,8000.00,"4 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup","Dilshan Apartment, opp. M Bazar, Bazarpara, Uluberia, Howrah, West Bengal 711316",4 free dietains sessions,  Service Locker Room,  Fitness Assessment,  Morning Slot,  Health Checkup
